Realizado por: Miguel Gonzalez, Fabio Buitrago, Jose Rodriguez
fp.msedge.net 204.79.197.222
afdxtest.z01.azurefd.net 13.107.238.41
instagram.com 157.240.6.174
slscr.update.microsoft.com 40.127.169.103
dual-s-ring.msedge.net 52.123.129.254
fe2cr.update.microsoft.com 52.238.248.6
fp-afd-nocache-ccp.azureedge.net 13.107.213.41
0f913b8fe4eade7b6a0a6bc718893470.nrb.footprintdns.com 52.96.122.34
fp-vp-nocache.azureedge.net 152.199.55.200
ocsp.digicert.com 192.16.49.85
login.live.com 20.190.151.70
facebook.com 157.240.6.35
fp-as.azureedge.net 104.75.170.26
a-ring.msedge.net 204.79.197.254
changelogs.ubuntu.com 91.189.91.49
canonical-bos01.cdn.snapcraftcontent.com 91.189.91.43
www.bing.com 104.75.170.187
fp-afd.azurefd.us 20.140.147.201
google.com 172.217.30.206
odinvzc.azureedge.net 152.199.55.200
nacional.com 209.208.108.230
da.xboxservices.com 13.107.237.41
checkappexec.microsoft.com 20.206.190.93
ris.api.iris.microsoft.com 20.110.87.71
connectivity-check.ubuntu.com 35.232.111.17
c-ring.msedge.net 13.107.4.254
t-ring-fallback.msedge.net 13.107.253.254
store-images.s-microsoft.com 23.221.99.250
javeriana.edu.co 10.26.1.144
api.snapcraft.io 185.125.188.54
javeriana.com 142.11.204.39
fp-vs-nocache.azureedge.net 152.199.55.200
v20.events.data.microsoft.com 20.42.65.85
cdn.fwupd.org 151.101.130.49
dmd.metaservices.microsoft.com 52.142.223.178
arc.msn.com 23.96.180.189
k-ring.msedge.net 13.107.18.254
motd.ubuntu.com 34.243.160.129
go.microsoft.com 23.221.96.245
th.bing.com 104.75.170.201
r.bing.com 104.75.170.153
pepsi.com 45.60.75.51
displaycatalog.mp.microsoft.com 20.99.133.109
www.msftconnecttest.com 13.107.4.52
img-prod-cms-rt-microsoft-com.akamaized.net 95.101.29.97
cdn.onenote.net 23.75.130.150
storeedgefd.dsx.mp.microsoft.com 23.204.77.189
twitter.com 104.244.42.129
assets.msn.com 23.50.112.4
client.wns.windows.com 20.7.2.167
pontijaveriana.com.co 192.168.11.2
tile-service.weather.microsoft.com 23.221.121.55
ctldl.windowsupdate.com 200.25.8.48
settings-win.data.microsoft.com 20.44.239.154
download.windowsupdate.com 209.197.3.8
youtube.com 172.217.173.46
fe3cr.delivery.mp.microsoft.com 13.95.31.18
ntp.ubuntu.com 185.125.190.57
ow1.res.office365.com 23.208.28.181
v10.events.data.microsoft.com 20.42.65.85
canonical-lgw01.cdn.snapcraftcontent.com 185.125.190.26
lego.com 2.19.172.8
api.msn.com 204.79.197.203
Comunicaciones y Redes
